ProductNameEN;ImageLink;Price;DescriptionEN;DescriptionPT;ProductNamePT
Brake Pads;brakepads.jpg;$39.99;High-quality brake pads for reliable stopping power.;Pastilhas de travão de alta qualidade para potência de travagem confiável.;Pastilhas de travão
Oil Filter;oilfilter.jpg;$14.99;Durable oil filter to protect your engine and prolong oil life.;Filtro de óleo durável para proteger o motor e prolongar a vida do óleo.;Filtro de óleo
Car Battery;battery.jpg;$89.99;Long-lasting car battery with strong cold-crank performance.;Bateria de longa duração com boa performance em arranque a frio.;Bateria de carro
Spark Plugs;sparkplugs.jpg;$24.99;Set of 4 spark plugs for consistent ignition and improved efficiency.;Conjunto de 4 velas para ignição consistente e melhor eficiência.;Velas de ignição (4)
Air Filter;airfilter.jpg;$19.99;High-efficiency air filter to improve engine airflow and protection.;Filtro de ar de alta eficiência para melhorar o fluxo de ar e proteger o motor.;Filtro de ar
Turbo;turbo.jpg;$299.99;Performance turbo to increase engine power and throttle response.;Turbo de desempenho para aumentar a potência do motor e a resposta do acelerador.;Turbo
Muffler;muffler.jpg;$59.99;Exhaust muffler designed to reduce noise while preserving flow.;Silenciador de escape projetado para reduzir o ruído mantendo o fluxo.;Silenciador
Cabin Filter;cabinfilter.jpg;$24.99;Cabin (pollen) filter to keep interior air clean and fresh.;Filtro de cabine para manter o ar interior limpo e fresco.;Filtro de cabine
Exhaust Pipe;exhaustpipe.jpg;$89.99;High-grade exhaust pipe for improved flow and durability.;Tubo de escape de alta qualidade para melhor fluxo e durabilidade.;Tubo de escape
Radiator;radiator.jpg;$129.99;Efficient radiator to help maintain optimal engine temperature.;Radiador eficiente para ajudar a manter a temperatura ideal do motor.;Radiador
Alternator;alternator.jpg;$149.99;Reliable alternator to keep the electrical system and battery charged.;Alternador confiável para manter o sistema elétrico e a bateria carregados.;Alternador
Fuel Pump;fuelpump.jpg;$89.99;High-pressure fuel pump for consistent fuel delivery under load.;Bomba de combustível de alta pressão para entrega consistente sob carga.;Bomba de combustível
Timing Belt;timingbelt.jpg;$49.99;Durable timing belt ensuring correct engine timing and longevity.;Correia de distribuição durável que garante sincronização correta e durabilidade.;Correia de distribuição
Headlight;headlight.jpg;$39.99;Bright headlight for improved night-time visibility and safety.;Farol potente para melhor visibilidade noturna e segurança.;Farol
Windshield Wiper;wiper.jpg;$14.99;Durable wiper blade for clear visibility in rain and snow.;Palheta resistente para visibilidade clara na chuva e neve.;Palheta de para-brisas
Shock Absorber;shockabsorber.jpg;$59.99;Comfort-oriented shock absorber for a smoother ride and better handling.;Amortecedor orientado para conforto para uma condução mais suave e melhor controlo.;Amortecedor
Clutch Kit;clutchkit.jpg;$129.99;Complete clutch kit for reliable gear engagement and long life.;Kit de embraiagem completo para engate fiável e longa duração.;Kit de embraiagem
Wheel Bearing;wheelbearing.jpg;$34.99;Durable wheel bearing for stable wheel rotation and safety.;Rolamento de roda durável para rotação estável e segurança.;Rolamento de roda
Starter Motor;startermotor.jpg;$99.99;Powerful starter motor for dependable engine starts every time.;Motor de arranque potente para partidas confiáveis sempre.;Motor de arranque
Water Pump;waterpump.jpg;$49.99;Reliable water pump to maintain coolant circulation and engine temperature.;Bomba de água confiável para manter a circulação do líquido de arrefecimento e a temperatura do motor.;Bomba de água
Water Pump;waterpump.jpg;$49.99;Reliable water pump to maintain coolant circulation and engine temperature.;Bomba de água confiável para manter a circulação do líquido de arrefecimento e a temperatura do motor.;Bomba de água
Water Pump;waterpump.jpg;$49.99;Reliable water pump to maintain coolant circulation and engine temperature.;Bomba de água confiável para manter a circulação do líquido de arrefecimento e a temperatura do motor.;Bomba de água
Water Pump;waterpump.jpg;$49.99;Reliable water pump to maintain coolant circulation and engine temperature.;Bomba de água confiável para manter a circulação do líquido de arrefecimento e a temperatura do motor.;Bomba de água
Water Pump;waterpump.jpg;$49.99;Reliable water pump to maintain coolant circulation and engine temperature.;Bomba de água confiável para manter a circulação do líquido de arrefecimento e a temperatura do motor.;Bomba de água

